,0
HDFCB IS Equity,0.17413285016274926
ICICIBC IS Equity,0.17430534417381396
RELIANCE IS Equity,0.19644215465032044
INFO IS Equity,0.21497592675333732
BHARTI IS Equity,0.1972403498513166
LT IS Equity,0.24283479254878473
AXSB IS Equity,0.20896141481685296
TCS IS Equity,0.18230456139031564
ITC IS Equity,0.1526766979905915
KMB IS Equity,0.1930248949034781
MM IS Equity,0.27141741895089666
SBIN IS Equity,0.24041930777315335
BAF IS Equity,0.2188251884871993
HUVR IS Equity,0.168950119441377
SUNP IS Equity,0.17321243150641794
ETERNAL IS Equity,0.3464705981359437
MSIL IS Equity,0.18713334378041968
HCLT IS Equity,0.21885626487237486
TTMT IS Equity,0.2690793814500271
NTPC IS Equity,0.2659355762294582
UTCEM IS Equity,0.20950271491397043
TTAN IS Equity,0.19473177822915255
BHE IS Equity,0.34196088352290666
PWGR IS Equity,0.2484311321629238
TATA IS Equity,0.2625142384831148
TRENT IS Equity,0.34791480003932457
ADSEZ IS Equity,0.35640846775954454
BJFIN IS Equity,0.2197129898821035
JSTL IS Equity,0.2315934755829234
APNT IS Equity,0.17662441710636184
INFOE IS Equity,0.2886803902283458
BJAUT IS Equity,0.23872961334005985
DMART IS Equity,0.26416787798745345
GRASIM IS Equity,0.20145578067907324
INDIGO IS Equity,0.25133177387874545
HNAL IS Equity,0.3550554131691523
TECHM IS Equity,0.2266350412576307
SHFL IS Equity,0.32153746877189004
HNDL IS Equity,0.2661375262850385
SRCM IS Equity,0.1869469652144979
JIOFIN IS Equity,0.2769745707897623
CIPLA IS Equity,0.19571702756367165
MAXHEALT IS Equity,0.3115851630474609
NEST IS Equity,0.15430570256322287
HDFCLIFE IS Equity,0.2001094859809405
BSE IS Equity,0.49997274212843307
EIM IS Equity,0.21842683034483507
SBILIFE IS Equity,0.2111818574416987
ADANI IS Equity,0.4144433344481507
WPRO IS Equity,0.2544164063086717
ADE IS Equity,0.40694065445594274
CIFC IS Equity,0.28829954234655625
DRRD IS Equity,0.17265117411445235
COAL IS Equity,0.2474512229406154
SUEL IS Equity,0.38455730474644534
ONGC IS Equity,0.30677684329405275
DIVI IS Equity,0.23406936547386256
TATACONS IS Equity,0.2067961414650018
IH IS Equity,0.29522294593547127
TVSL IS Equity,0.24034890304188003
VBL IS Equity,0.30305996549936876
APHS IS Equity,0.17630314473477746
TPWR IS Equity,0.2732995128785242
BPCL IS Equity,0.2640474099384881
VEDL IS Equity,0.30047177472300274
POLICYBZ IS Equity,0.3841644102372304
POWF IS Equity,0.4051493908125542
DIXON IS Equity,0.3792433394131693
BJHI IS Equity,0.29381802868890955
PSYS IS Equity,0.3252924571537819
BRIT IS Equity,0.17292600315497977
COFORGE IS Equity,0.3105352679975399
GCPL IS Equity,0.2295337958667317
GAIL IS Equity,0.3312741640592022
HMCL IS Equity,0.21508683847529134
RECL IS Equity,0.42226682090246265
INDUSTOW IS Equity,0.31222768954067004
IIB IS Equity,0.3989097473922642
LPC IS Equity,0.24581920800010904
DLFU IS Equity,0.3027108512626764
UNITDSPR IS Equity,0.2112454195718205
CGPOWER IS Equity,0.3461472744111454
ICICIGI IS Equity,0.20480145271792063
YES IS Equity,0.2783873658772832
BOB IS Equity,0.305152496737148
HDFCAMC IS Equity,0.2926665103383592
IDFCFB IS Equity,0.24713601337945063
MOTHERSO IS Equity,0.3181046324858803
ADANIGR IS Equity,0.4841539701632817
PIDI IS Equity,0.16338975878804846
FB IS Equity,0.22668900853557383
IOCL IS Equity,0.26002224168735943
AL IS Equity,0.28533257201814083
KKC IS Equity,0.3138019009592997
HPCL IS Equity,0.32534304009192516
LODHA IS Equity,0.38490461985144364
JSP IS Equity,0.2672489363518238
ACEM IS Equity,0.2931147943105192
MAXF IS Equity,0.23094581721538576
AUBANK IS Equity,0.26955725289071797
